sid1,sid2,route,mins
3222,2387,b,5.883333333333334
3222,3049,b,0.1333333333333333
3223,3148,b,3.35
3223,3215,b,6.75
3223,4003,b,1.8833333333333333
3224,4139,b,24.883333333333333
3225,3057,b,8.383333333333333
3226,1261,b,1.0
3227,3142,b,0.35
3228,4676,b,1.25
3229,3228,b,5.0
3230,3229,b,18.0
3230,5020,b,0.2
3231,2820,b,0.8833333333333333
3232,3138,b,3.1
3232,3230,b,1.0
3233,3212,b,1.25
3233,3234,b,1.0
3233,3238,b,5.25
3234,1671,b,0.8833333333333333
3235,1615,b,0.75
3235,2028,b,0.3833333333333333
3236,1615,b,0.5
3237,2833,b,0.1333333333333333
3237,3076,b,2.6333333333333333
3238,3566,b,1.8833333333333333
3239,2023,b,0.6333333333333333
3239,3747,b,2.8833333333333333
3240,3098,b,2.1333333333333333
3241,2196,b,5.75
3241,3046,b,2.1333333333333333
3241,3242,b,0.5
3242,4099,b,2.1333333333333333
3244,2767,b,1.1333333333333333
3244,3123,b,2.1
3244,3195,b,0.5
3246,2452,b,1.6333333333333333
3246,3193,b,0.75
3249,1340,a,2.1166666666666667
3256,3534,b,2.3833333333333333
3256,4253,b,3.25
3297,2015,c,0.1166666666666666
3359,1923,b,1.125
3359,2622,b,0.3833333333333333
3359,3566,b,0.6333333333333333
3360,3361,b,1.25
3360,3371,b,1.5
3360,3567,b,0.3833333333333333
3361,3362,b,1.0
3361,3370,b,0.75
3362,2934,b,0.1333333333333333
3363,3370,b,0.25
3363,3371,b,1.0
3364,3363,b,1.0
3364,3535,b,0.1333333333333333
3364,4220,b,5.5
3368,2672,b,0.8833333333333333
3368,3450,b,1.5
3370,3448,b,4.25
3370,4219,b,1.5
3371,3368,b,2.25
3371,4219,b,0.75
3372,3359,b,0.5
3372,3360,b,1.0
3414,3577,b,0.6333333333333333
3417,3168,b,0.1
3418,2660,b,0.8833333333333333
3418,3445,b,1.0
3419,2931,b,0.6333333333333333
3420,2654,b,1.6333333333333333
3420,4155,b,5.0
3442,3443,b,1.25
3442,3444,b,3.25
3443,4223,b,1.25
3444,3448,b,2.5
3445,3447,b,1.25
3446,2618,b,0.1333333333333333
3446,3447,b,0.5
3446,4223,b,2.5
3447,2159,b,0.6
3447,3448,b,0.5
3448,3364,b,4.0
3448,3420,b,5.75
3448,4217,b,1.0
3448,4223,b,5.5
3449,3539,b,0.3833333333333333
3450,2230,b,0.6333333333333333
3450,3414,b,1.25
3450,4718,b,0.5
3528,2387,a,3.0
3529,3817,a,10.5
3538,382,a,2.75
3541,2234,a,5.0
3545,3572,a,3.5
3551,3554,a,1.0
3554,3562,a,4.0
3562,2618,a,20.25
3564,3565,a,0.75
3565,3566,a,0.75
3566,3571,a,2.75
3571,3575,a,2.0
3572,3551,a,0.25
3575,3541,a,4.0
3717,3239,a,6.366666666666666
3747,2538,a,1.5
3765,3213,a,1.3666666666666667
3771,3772,a,0.75
3772,4139,a,5.0
3773,2014,a,0.1166666666666666
3817,3528,a,10.25
4004,987,b,3.75
4008,2614,b,1.1166666666666667
4010,4011,b,2.25
4010,4097,b,2.25
4010,4289,b,0.1333333333333333
4011,2380,b,4.383333333333334
4011,2584,b,3.1333333333333333
4011,4012,b,2.0
4012,1336,b,5.25
4090,4091,b,0.5
4090,4094,b,3.5
4090,4123,b,0.1166666666666666
4091,4092,b,1.625
4092,375,b,1.1333333333333333
4092,3566,b,1.1333333333333333
4093,3261,b,0.8833333333333333
4094,3184,b,10.0
4097,4004,b,7.5
4097,4010,b,1.0
4097,5020,b,0.8833333333333333
4120,2670,a,2.3666666666666667
4120,2934,a,1.25
4123,1672,a,0.1833333333333333
4123,3058,a,3.2666666666666666
4155,2232,b,0.8833333333333333
4155,2665,b,0.6333333333333333
4155,2846,b,0.8833333333333333
4155,2848,b,2.3833333333333333
4155,3442,b,1.125
4217,2626,b,0.85
4217,3359,b,6.75
4217,3448,b,1.0
4218,2230,b,0.3833333333333333
4218,3364,b,1.25
4219,3359,b,1.25
4219,3372,b,1.0
4220,2669,b,3.25
4220,3541,b,0.8833333333333333
4223,3418,b,0.75
4223,3420,b,5.0
4223,3446,b,0.75
4253,2023,b,1.1333333333333333
4253,2386,b,1.1333333333333333
4253,2763,b,0.3833333333333333
4253,3090,b,1.8833333333333333
4266,3233,b,5.25
4270,4784,b,2.3833333333333333
4280,2014,a,1.1166666666666667
4280,3796,a,0.2166666666666666
4289,3561,a,2.933333333333333
4289,4011,a,1.1166666666666667
4289,5020,c,0.4666666666666666
4588,3534,a,4.933333333333334
4590,3076,a,7.933333333333334
4676,3226,b,0.75
4676,4938,b,1.1166666666666667
4718,4217,b,0.5
4938,3218,a,2.3833333333333333
4952,3297,c,1.0
5020,982,a,0.05
5020,1615,a,0.05
5020,1643,a,0.05
5020,2592,a,0.1833333333333333
5020,3176,a,0.9333333333333332
5020,3178,a,1.1833333333333331
5020,3203,a,0.05
5020,3232,a,0.05
5020,3261,a,0.4333333333333333
5020,3560,a,0.25
5020,3773,a,10.75
5020,3880,a,0.2166666666666666
5020,3914,a,6.216666666666667
5020,4289,a,0.1166666666666666
5020,5072,a,8.5
5072,2824,a,14.25
5072,4952,a,3.933333333333333
5312,4280,a,0.25
5325,3570,b,2.8833333333333333
5365,2450,b,0.1333333333333333
5388,4844,a,1.4666666666666666
375,3261,w,10.419316027906769
3261,375,w,10.419316027906769
965,987,w,9.365853826943631
987,965,w,9.365853826943631
968,984,w,3.84998130713337
984,968,w,3.84998130713337
969,983,w,12.009314326746477
983,969,w,12.009314326746477
970,982,w,13.48740937188354
982,970,w,13.48740937188354
1335,1355,w,13.165653452156404
1355,1335,w,13.165653452156404
1338,1352,w,9.892955841820266
1352,1338,w,9.892955841820266
1341,1349,w,16.836604458301288
1349,1341,w,16.836604458301288
1350,1710,w,19.64734387792199
1710,1350,w,19.64734387792199
1615,3235,w,10.153371842108752
3235,1615,w,10.153371842108752
1646,1676,w,11.883304080889792
1676,1646,w,11.883304080889792
1710,1716,w,15.177702557968354
1716,1710,w,15.177702557968354
1718,5365,w,16.745775866723555
5365,1718,w,16.745775866723555
1923,4220,w,8.27150383679814
